Return Year,Region,Population,Run Timing,Hatchery Facility,Program Type,Conservation Unit ID,Conservation Unit Name,CU Acronym,DU #,Proposed DU Name,Proposed DU Short Name,JAZ Acronym,PNI Estimate Type (CWT),pHOS (CWT),pNOB (CWT),"PNI (CWT, incl. jacks)",Annual Biological Designation (CWT),PNI Calculation Description,CWT comments,PNI Estimate Type (Thermal),pHOS (Thermal),pNOB (Thermal),PNI (Thermal),Annual Biological Designation (Thermal),PNI Calculation Description,Thermal Mark Comments,pHOS (PBT),pNOB (PBT),PNI (PBT),PBT Comments,pHOS (biostandards w/o jacks),PNI (biostandards w/o jacks),pHOS (biostandards w/ jacks),PNI (biostandards w/ jacks),General Comments,Complete Cohort Years (CWT),Complete Cohort Years (Thermal),Years when the Proportion of the Release has > 5% Unassociated Tags (only applies to CWTs)
1994,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.49,0.51,0.51,Integrated - Transition,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1995,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.77,0.23,0.23,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1996,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,1,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1997,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.82,0.18,0.18,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1998,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.36,0.64,0.64,Integrated - Transition,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1999,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.74,0.26,0.26,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
2000,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.78,0.22,0.22,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
2001,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.91,0.09,0.09,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
2002,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.83,0.17,0.17,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
2003,SBC,Shuswap River - middle,Summer,Spius,OPS,CK-015,Shuswap River_SU_0.3,STh-SHUR,DU12,BC South Thompson Ocean Summer,STh+GStr/Ocean/Summer,STh+GStr,Direct,0.56,0.44,0.44,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1990-2018,,"1992, 1994-1996, 1998, 2000-2008, 2010-2011, 2013-2015, 2017"
1996,SBC,Adams River - upper,Summer,Unknown at this time,,CK-082,Upper Adams River_SU_x.x,UAdams, ,0,0,STh+GStr,Partial Direct,1,0,0,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1994-1996,,
2008,Other,Atnarko River,Summer,Snootli,OPS,CK-039,Bella Coola-Bentinck,BCR-BENT, ,0,0,BCD+HStr,Direct,1,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,"1980-1981, 1986-2005, 2010-2018",,"1973, 1978, 1981-1984, 1988, 1992, 1994, 2003-2004"
1975,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,1,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
1976,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.94,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
1978,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,1,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
1979,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.96,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
1980,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,0.99,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
2015,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,1,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,0.853172495,,0.842407258,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
2017,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,1,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,0.8616298,,0.85922526,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
2018,SBC,Big Qualicum River,Fall,Big Qualicum,OPS,CK-027,East Vancouver Island-Qualicum and Puntledge_FA_0.x,QP-fall,DU21,BC East Vancouver Island Ocean Fall,EVI+GStr/Ocean/Fall,EVI+GStr,Direct,1,0,0,Integrated - Hatchery,"Direct estimates of both pHOS and pNOB are available.  Population is marked (Coded Wire Tags, adipose clips, otolith, or Parental Based Tags) and both river and brood stock are sampled.  Standard statistical assumptions and methodologies with respect to the marking method apply.",pHOS and pNOB estimates available.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,,1975-2018,,"1970-1971, 1979, 1994, 1996-2004, 2006, 2007"
2018,SBC,Campbell River,Fall,Quinsam,OPS,CK-029,East Vancouver Island-North_FA_0.x,NEVI,DU23,BC East Vancouver Island Ocean Fall (EVI + SFj),EVI+SFj/Ocean/ Fall,EVI+SFj,Partial Direct,0.19,0,0,Integrated - Hatchery,"The population is marked but there is a direct estimate of only pNOB, the proportion of natural origin spawners in the hatchery broodstock, because only hatchery brood stock is sampled. Or, the population is marked but there is a direct estimate of only pHOS, the proportion of hatchery origin spawners in the natural spawning population. In the former, pHOS = 1 minus pNOB, and in the latter, pNOB = 1 minus pHOS.",Only pHOS estimate available. pNOB was assumed to be equal to 1 minus pHOS.,No Estimate,,,,,"No estimate of survival or production possible (e.g. population is not marked, neither brood stock nor river are sampled.and there is no appropriate biostandard indicator).  In this instance the PNI cannot be calculated and the program must be scaled to an appropriately low level of production or assumed to be high risk. ",,,,#DIV/0!,,,,,,Brood is collected from swim-ins at Quinsam. pNOB value presented is 1 minus pHOS and represents the natural origin spawners. pHOS is from dead pitch sampling on the Campbell. All CWTs are likely Quinsam fish as Campbell chinook are not CWT'd.  Campbell River chinook are only thermally marked.,"1987-1988,2003-2007,2011-2012,2017-2018",2005-2018,
